               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12369,            0.013388,            0.039323,           0.0016619,            0.046296,           0.0011757,           0.0002449,             0.11884,           0.0096741,            0.031613,             0.07013,           0.0033189,           0.0033189
                   1,             0.11931,            0.012772,             0.02394,            0.021904,            0.037037,           0.0082468,           0.0037046,             0.13664,             0.07495,             0.32963,            0.040097,           0.0066193,           0.0066193
                   2,             0.11442,             0.01351,            0.016852,              0.2849,            0.051665,            0.020219,           0.0041766,             0.11642,            0.012111,            0.024856,            0.010031,           0.0098867,           0.0098867
                   3,             0.10765,            0.014129,            0.014786,             0.76749,            0.032022,             0.01683,           0.0043314,             0.09594,            0.012778,            0.014403,           0.0098515,           0.0098515,           0.0098515
                   4,            0.088638,            0.015703,            0.013334,             0.36202,             0.29754,             0.10644,            0.029787,            0.081553,             0.01063,            0.018532,           0.0098515,           0.0098515,           0.0098515
                   5,            0.079739,            0.013965,            0.011386,             0.23213,             0.31538,             0.17484,            0.061466,            0.070575,            0.012266,            0.010139,            0.009802,            0.009802,            0.009802
                   6,            0.075094,            0.013326,            0.009737,              0.7355,             0.12497,             0.13575,            0.063578,            0.092341,            0.010789,            0.018925,           0.0097525,           0.0097525,           0.0097525
                   7,            0.072045,            0.012731,           0.0085001,             0.35697,             0.43787,             0.36401,             0.15115,            0.058419,           0.0083278,           0.0050711,            0.009703,            0.009703,            0.009703
                   8,            0.068667,            0.012052,           0.0062884,             0.56869,             0.48801,              0.4434,             0.17255,            0.058298,           0.0078409,           0.0051547,           0.0096535,           0.0096535,           0.0096535
                   9,            0.067012,            0.011819,           0.0065084,              0.5528,             0.46659,             0.45491,             0.20184,            0.057078,           0.0076041,           0.0050451,            0.009604,            0.009604,            0.009604
                  10,            0.064543,            0.011599,           0.0051248,              0.5624,             0.49407,             0.46752,             0.20012,            0.060639,           0.0078687,           0.0054877,           0.0095545,           0.0095545,           0.0095545
                  11,             0.06291,            0.011297,           0.0049646,             0.71909,             0.50219,             0.57883,             0.26401,            0.051187,           0.0071538,           0.0030754,            0.009505,            0.009505,            0.009505
                  12,            0.061593,            0.011231,           0.0043398,             0.64679,             0.57606,             0.57115,             0.24228,            0.050339,           0.0070472,           0.0031255,           0.0094555,           0.0094555,           0.0094555
                  13,            0.060095,            0.010886,           0.0046255,             0.66658,             0.59931,             0.59113,             0.28649,            0.050334,           0.0076772,            0.003011,            0.009406,            0.009406,            0.009406
                  14,            0.059494,            0.010924,           0.0042957,             0.65688,             0.56414,             0.58099,             0.26407,            0.049053,           0.0068182,            0.002691,           0.0093565,           0.0093565,           0.0093565
                  15,            0.059516,            0.010739,           0.0039261,             0.67781,             0.49036,             0.54855,             0.23444,            0.050228,           0.0065909,           0.0028295,            0.009307,            0.009307,            0.009307
                  16,            0.057924,            0.010611,           0.0037715,             0.71261,             0.59751,             0.61882,             0.30427,            0.049759,           0.0066899,           0.0026331,           0.0092575,           0.0092575,           0.0092575
                  17,            0.056783,            0.010791,           0.0033458,             0.68365,             0.63464,             0.62172,              0.2967,            0.046257,           0.0063818,           0.0017343,            0.009208,            0.009208,            0.009208
                  18,            0.056713,            0.010863,           0.0036014,             0.69585,             0.64122,             0.65875,             0.30402,            0.046005,           0.0069686,           0.0022932,           0.0091585,           0.0091585,           0.0091585
                  19,            0.056208,            0.010289,           0.0034357,             0.77379,               0.614,             0.65802,             0.34283,            0.045082,           0.0062153,           0.0016268,            0.009109,            0.009109,            0.009109
                  20,            0.054883,            0.010256,           0.0033547,             0.78012,             0.63214,             0.67186,             0.32103,            0.046267,           0.0060925,           0.0016293,           0.0090595,           0.0090595,           0.0090595
                  21,            0.054955,            0.010341,           0.0030665,             0.76497,              0.6614,             0.68569,             0.32432,            0.043984,           0.0061205,           0.0013355,             0.00901,             0.00901,             0.00901
                  22,             0.05367,             0.01014,            0.002725,             0.72681,             0.65083,              0.6726,              0.3382,            0.042924,           0.0061372,           0.0013978,           0.0089605,           0.0089605,           0.0089605
                  23,            0.052817,            0.010314,           0.0027152,             0.77488,             0.67066,              0.6996,             0.35014,            0.042847,           0.0059714,           0.0011327,            0.008911,            0.008911,            0.008911
                  24,            0.052912,            0.010023,           0.0026503,             0.67753,             0.64523,             0.64375,             0.32058,            0.046371,           0.0067949,           0.0021336,           0.0088615,           0.0088615,           0.0088615
                  25,            0.053171,           0.0099005,            0.002425,             0.77241,             0.66467,             0.69505,             0.34479,             0.04285,           0.0059237,           0.0010045,            0.008812,            0.008812,            0.008812
                  26,            0.052235,           0.0099322,           0.0023879,             0.78154,             0.68917,             0.70813,             0.35561,            0.042142,           0.0058283,          0.00082146,           0.0087625,           0.0087625,           0.0087625
